bt_ov1,bt_rn1,bt_rr1,bt_mc1,bo_ov1,bo_wi1,bo_sr1,bo_mc1,fi_cg1,fi_ro1,fi_cpm1,bt_ov2,bt_rn2,bt_rr2,bt_mc2,bo_ov2,bo_wi2,bo_sr2,bo_mc2,fi_cg2,fi_ro2,fi_cpm2,win
138,1051.1818181818182,6.818181818181818,31.81818181818182,179,9,65.16666666666667,35.166666666666664,21.666666666666664,5.666666666666667,0.3628685516759896,154.2,1197.1999999999998,6.6,34.800000000000004,151.2,8.2,108.8,37,22.6,6.2,0.4305733371267352,1
138.83333333333334,1110.1666666666667,7.833333333333332,33,158.71428571428572,10.428571428571427,117.71428571428571,30.714285714285715,36.5,9.5,0.5882352941176471,273.2857142857143,2265.285714285714,8.142857142857142,56.14285714285714,93.2,5.8,84.4,23.6,22.333333333333336,9.333333333333332,0.5040708812260537,1
441,3685.666666666667,8.666666666666666,105.00000000000001,103.2,6.4,124.19999999999999,21.599999999999998,24.25,4,0.831597285897671,98.39999999999999,829.7,6.8,26.099999999999998,194.5,9.666666666666666,112.66666666666667,39.333333333333336,0,0,0,0
100.625,846.625,7.625,27.375,186.33333333333334,10.166666666666666,125.66666666666669,43.166666666666664,8.5,1.5,0.7372549019607844,204.85714285714283,1576,7.428571428571428,46.42857142857143,241.83333333333331,11.333333333333332,125.16666666666669,48.99999999999999,31.333333333333336,9.666666666666668,0.5058995123650296,1
146.14285714285714,1148.857142857143,7,35.85714285714285,151.66666666666663,6.333333333333334,181.99999999999997,34.666666666666664,19.571428571428573,4.571428571428572,0.3965329782998956,113.9,931.1,7.4,27.5,127,7.666666666666667,115.83333333333333,29,30.666666666666668,4,0.47435897435897434,0
155.5,1344.6666666666665,8.5,38.5,173.85714285714286,8.571428571428571,118.85714285714285,35.42857142857143,22.5,12.5,0.8184079601990051,119.89999999999999,947.9999999999999,7.499999999999999,31.7,185.16666666666669,12.166666666666668,137.33333333333334,35.666666666666664,36,10.5,0.5551755585955312,0
112.50000000000001,925.4000000000001,7.9,27.5,132,7.833333333333334,147.16666666666666,28.833333333333336,51,20,0.8875,441,3685.666666666667,8.666666666666666,105.00000000000001,95.80000000000001,6.4,135.8,21,42,10,0.4332111300310909,1
273.2857142857143,2265.2857142857147,8.142857142857142,56.14285714285715,93.20000000000002,5.800000000000001,84.4,23.6,27.75,5.5,0.48521739614904624,106.55555555555554,891.888888888889,7.5555555555555545,29.11111111111111,176,9.625,90.125,37.875,28.666666666666664,8.333333333333334,0.7043884220354808,0
159,1334.5000000000002,8.833333333333332,35.666666666666664,128.5,7.666666666666667,125.33333333333334,28,10.8,2.4000000000000004,0.3914264597191426,120.22222222222223,1010.8888888888889,7.666666666666666,30.666666666666664,173.85714285714283,8.571428571428571,118.85714285714286,35.42857142857143,15.666666666666666,8.333333333333334,0.67893864013267,1
105.27272727272727,827.7272727272729,6.545454545454546,28.27272727272727,222.2,15.200000000000001,109.39999999999999,44.400000000000006,16,6.5,0.3068191640907551,104.81818181818183,861.8181818181819,7.454545454545456,29.90909090909091,228.33333333333334,12.666666666666668,80.5,48.666666666666664,19.499999999999996,4.833333333333333,0.587253133576663,0
154.9,1177.4999999999995,6.5,37.699999999999996,262.8333333333333,12.5,113.33333333333334,52.666666666666664,11.5,3.5,0.46921182266009853,161.4,1389.8,7.4,40.4,201.5,11,118.16666666666667,40.16666666666667,17.666666666666664,7.666666666666667,0.5982870442998808,1
